"crl.tot","dollar","bang","money","n000","make","yesno"
353,0,0.026,0,0,0.53,"n"
22,0,0.17,0,0,1,"n"
89,0,0.11,0,0,0,"y"
80,0.903,0,0,0,0,"n"
97,0,0,0,0,0,"n"
477,0.189,0.586,0,0.39,0.19,"y"
50,0,0,0,0,0,"n"
119,0,0,0,0,0,"n"
261,0.121,0.121,0.4,0.6,0,"y"
97,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
294,0,0.288,0,0,0,"n"
97,0,0.124,0.39,0,0,"y"
418,0.044,0,0,0,0,"y"
4,0,0,0,0,0,"n"
73,0.389,0,0,1.08,0,"y"
48,0,0,0,0,0,"n"
22,0,0.263,0,0,0,"n"
55,0.147,0.049,0,0,0,"n"
599,0.057,1.158,0.35,0,0.17,"y"
1351,0.157,0.488,0.1,0.6,0.1,"y"
137,0,0.099,0,0,0,"n"
1484,1.269,0.031,0,0,0,"y"
1356,0.016,0.028,0,0,0.07,"n"
475,0.061,0.371,0.12,0,0,"y"
12,0,0,0,0,0,"n"
13,0,0,0,0,0,"y"
26,0,0.48,0,0,0,"n"
1144,0.147,0.294,0,0,0,"y"
101,0,0,0,0,0,"n"
1410,0.114,0.394,0.08,0.85,0.08,"y"
303,0.14,0.032,0.23,0.23,0,"y"
266,0,0.073,0,0,0,"n"
9,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
771,0,0.591,0,0,0.09,"y"
203,0,0,0,0,0,"n"
364,0.016,0.033,0,0,0.12,"n"
42,0,0,0,0,0,"n"
383,0.071,0.142,0,0.18,0,"n"
140,0,0,0,0,0,"n"
50,0.087,0.174,0,0.48,1.44,"y"
12,0,0,0,0,0,"n"
352,0.364,0.273,0.55,0.55,0,"y"
30,0,0,0,0,0,"y"
78,0,0,0,0,0.96,"n"
3,0,0,0,0,0,"n"
108,0,0,0,0,0,"n"
106,0,0.367,0,0,0,"n"
7,0,0,0,0,0,"n"
58,0,0,0,0,0,"n"
180,0.253,1.183,0,1.61,0.53,"y"
50,0,0.238,0,0,0,"n"
214,0,0.937,0,0,0,"y"
124,0.361,1.566,0,0.8,0.8,"y"
530,0.031,0.237,0.09,0.36,0.09,"y"
41,0,0.475,0,0,0,"n"
11,0,0.666,0,0,0,"n"
87,0,0.486,0,0,0,"n"
14,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
232,0.112,0,0,0,0,"n"
386,0.042,1.289,0.84,0.28,0.56,"y"
17,0,0,0,0,0,"n"
57,0,0,0,0,0,"n"
54,0,0,0,0,0,"n"
228,0.83,0.276,0,1.3,0,"y"
68,0,0.077,0.45,0,0,"n"
88,0,0.116,0,0,0,"n"
4,0,0,0,0,0,"n"
128,0,0,0,0,0,"n"
537,0.259,0.259,0.34,0.34,0.34,"y"
32,0,0,0,0,0,"y"
1329,0.013,0,0,0,0.05,"n"
2458,0.041,0.015,0,0,0,"n"
1617,0.008,0,0,0,0.05,"n"
314,0,0.178,0,0,0,"n"
49,0,0.192,0,0,0,"y"
101,0,0,0,0,0,"n"
58,0,0.153,0,0,0,"n"
72,0.38,0.19,0,1.07,0,"y"
65,0.062,0.312,0,0,0,"y"
94,0,0,0,0,0,"n"
897,0.055,0.064,0.06,0.25,0.06,"n"
1407,0.117,0.403,0.08,0.85,0.08,"y"
129,0,0.091,0.65,0,0,"y"
542,0.022,0.057,0,0,0.08,"n"
14,0,0,0,0,0,"n"
1456,0.103,0.348,0.17,0.08,0.08,"y"
183,0,0.164,0,0,0.13,"n"
632,0.308,0.745,1.38,0,1.18,"y"
112,0,0,0,0,0.52,"n"
53,0,0.334,0,0,0,"y"
25,0,0.349,0,0,0,"n"
244,0,0,0,0,0.17,"n"
38,0.21,0.421,3.61,0,0,"y"
40,0,0,0,0,0,"n"
210,0,0,0,0,0,"n"
137,0.2,1.706,0,1.36,1.36,"y"
7,0,0,0,0,0,"n"
47,0,0.058,0,0,0.32,"n"
274,0,0,0,0,0,"n"
40,0,0.473,0.46,0,0,"n"
88,0,0,0,0,0,"y"
58,0,0.081,0,0,0,"n"
571,0.057,0,0,0.21,0.1,"n"
505,0.8,0.64,0,2.04,0,"y"
10,0,0,0,0,0,"n"
41,0.176,0.176,0,2.1,0,"y"
87,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
14,0,0.546,0,0,0,"n"
389,0.094,0.056,0,0,0,"y"
53,0,0,0,0,2,"n"
35,0,0,0,0,0,"n"
129,0,0,0,0,0,"n"
160,0.17,0.17,0,0,0,"y"
464,0,0,0,0,0,"n"
142,0,0.666,0,0.48,0,"n"
109,0.403,0.672,0,0,0,"y"
17,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
981,0.261,0.358,0.34,0.08,0,"y"
217,0,0.511,0,0,0,"y"
9,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
1386,0.014,0,0,0,0.05,"n"
45,0,0,0,0,0,"n"
107,0,0.268,0,0,0,"y"
41,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
966,0.305,0.75,0.69,0.06,0.48,"y"
333,0,0,0,0,0,"n"
1351,0.158,0.49,0.1,0.6,0.1,"y"
89,0,0,0,0,0,"n"
45,0,0,0,0,0,"n"
63,0,0.168,0,0,0,"n"
54,0,0,0,0,0.36,"n"
18,0.651,0,0,0,0,"n"
15,0,7.333,0,0,0,"y"
212,0.321,1.045,0,0,0,"y"
338,0.059,0.119,0,0.48,0,"n"
236,0,0,0,0,0,"n"
181,0,0,0,0,0,"n"
617,0.131,0.149,0.8,0.05,0.35,"y"
89,0,0.075,0,0,0,"n"
98,0.381,0.305,0,0.96,0,"n"
243,0.01,0,0,0,0.29,"n"
44,0,0,0,0,0,"n"
1789,0,0.055,0,0,0.27,"n"
63,0,0.094,0,0,0,"n"
795,0.167,0.167,0.07,0,0.07,"y"
123,0,0.159,0,0,0,"y"
1287,0.175,0.334,0.2,1.14,0.1,"y"
1428,0.156,0.297,0.2,0.4,0.1,"y"
608,0,0.123,0,0,0.15,"y"
129,0.318,0.715,0,0.54,0.54,"y"
114,0,0,0,0,0.38,"n"
56,0,0.309,0,0,0,"y"
208,0,0.087,0.3,0,0.15,"y"
78,0,0.294,0,0,0,"n"
32,0,0.111,0,0,0,"y"
151,0,0,0,0,0,"n"
139,0,0.74,0,0,0,"y"
13,0,0,0,0,0,"n"
168,0.049,0,0,0.29,0,"y"
116,0,0.062,0,0,0.36,"n"
162,0,0,0,0,0,"y"
9,0,0,0,0,0,"n"
353,0,0.801,0,0,0,"y"
5,0,0,0,0,0,"n"
209,0,0,0,0,0,"n"
352,0,0.606,0,0,0,"y"
30,0,0,0,0,0,"n"
111,0.077,0.544,0,0,0.49,"y"
82,0.408,0.408,0,1.12,0,"y"
328,0,0.14,0,0,0,"y"
12,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
36,0,1.169,0,0,0,"y"
